Metric,SNR_Bin_dB,F_Statistic,P_Value,Significant
throughput_mbps,35,15.611,0.0009,Yes
throughput_mbps,32,35.615,0.0,Yes
throughput_mbps,29,15.155,0.0046,Yes
throughput_mbps,26,11.707,0.0023,Yes
throughput_mbps,23,5.403,0.0369,Yes
throughput_mbps,20,1.173,0.293,No
throughput_mbps,14,13.704,0.006,Yes
throughput_mbps,11,6.103,0.0387,Yes
throughput_mbps,8,0.1,0.7597,No
throughput_mbps,5,1.536,0.2372,No
throughput_mbps,2,2009.043,0.0,Yes
rtt_ms,35,562.687,0.0,Yes
rtt_ms,32,213.37,0.0,Yes
rtt_ms,29,38.315,0.0003,Yes
rtt_ms,26,54.368,0.0,Yes
rtt_ms,23,67.654,0.0,Yes
rtt_ms,20,0.078,0.7827,No
rtt_ms,14,15.64,0.0042,Yes
rtt_ms,11,0.37,0.5596,No
rtt_ms,8,0.028,0.8703,No
rtt_ms,5,0.119,0.7356,No
rtt_ms,2,1.285,0.2898,No
retransmissions,35,1.246,0.279,No
retransmissions,32,3.273,0.0872,No
retransmissions,29,0.8,0.3972,No
retransmissions,26,0.796,0.3814,No
retransmissions,23,,,No
retransmissions,20,7.624,0.0129,Yes
retransmissions,14,0.4,0.5447,No
retransmissions,11,1.542,0.2495,No
retransmissions,8,0.022,0.8864,No
retransmissions,5,0.0,1.0,No
retransmissions,2,0.012,0.917,No
