,,throughput_mbps,throughput_mbps,throughput_mbps,rtt_ms,rtt_ms,rtt_ms,retransmissions,retransmissions,retransmissions
,,mean,std,count,mean,std,count,mean,std,count
snr_bin,tcp_variant,,,,,,,,,
2,Veno_AdaptiveBeta,0.304,0.015,5,337.476,21.853,5,55.4,8.112,5
2,Veno_RTTGrowthGuard,0.0,0.0,5,325.744,7.624,5,54.8,9.471,5
5,Veno_AdaptiveBeta,6.191,2.528,10,143.451,50.71,10,24.6,3.471,10
5,Veno_RTTGrowthGuard,4.648,1.553,5,134.984,27.178,5,24.6,3.715,5
8,Veno_AdaptiveBeta,7.646,1.372,5,108.038,38.636,5,16.0,5.788,5
8,Veno_RTTGrowthGuard,7.394,1.134,5,112.082,37.174,5,15.6,1.817,5
11,Veno_AdaptiveBeta,10.136,1.178,5,102.286,27.993,5,5.0,1.871,5
11,Veno_RTTGrowthGuard,8.118,1.396,5,91.872,26.08,5,3.4,2.191,5
14,Veno_AdaptiveBeta,12.674,1.299,5,60.984,8.002,5,0.2,0.447,5
14,Veno_RTTGrowthGuard,10.438,0.372,5,80.384,7.503,5,0.4,0.548,5
20,Veno_AdaptiveBeta,17.079,1.421,10,77.903,28.615,10,1.3,1.337,10
20,Veno_RTTGrowthGuard,16.346,1.6,10,74.22,30.208,10,0.1,0.316,10
23,Veno_AdaptiveBeta,19.866,0.127,5,37.724,1.455,5,0.0,0.0,5
23,Veno_RTTGrowthGuard,19.231,0.593,10,45.562,1.853,10,0.0,0.0,10
26,Veno_AdaptiveBeta,20.665,0.606,15,35.561,2.569,15,0.267,0.594,15
26,Veno_RTTGrowthGuard,19.792,0.654,10,43.325,2.594,10,0.5,0.707,10
29,Veno_AdaptiveBeta,20.56,0.244,5,35.002,1.849,5,0.2,0.447,5
29,Veno_RTTGrowthGuard,19.72,0.416,5,43.082,2.258,5,0.6,0.894,5
32,Veno_AdaptiveBeta,21.126,0.374,10,35.187,1.349,10,0.4,0.699,10
32,Veno_RTTGrowthGuard,20.251,0.274,10,43.67,1.246,10,0.0,0.0,10
35,Veno_AdaptiveBeta,21.111,0.464,10,33.649,0.727,10,0.7,0.675,10
35,Veno_RTTGrowthGuard,20.31,0.442,10,42.329,0.9,10,0.4,0.516,10
