Metric,SNR_Bin_dB,Levene_W,P_Value,Equal_Variance
throughput_mbps,35,0.335,0.5697,Yes
throughput_mbps,32,1.323,0.2652,Yes
throughput_mbps,29,0.824,0.3906,Yes
throughput_mbps,26,0.381,0.5431,Yes
throughput_mbps,23,4.407,0.0559,Yes
throughput_mbps,20,0.625,0.4395,Yes
throughput_mbps,14,2.586,0.1464,Yes
throughput_mbps,11,0.05,0.8284,Yes
throughput_mbps,8,0.012,0.9151,Yes
throughput_mbps,5,0.662,0.4306,Yes
throughput_mbps,2,1.882,0.2073,Yes
rtt_ms,35,2.752,0.1144,Yes
rtt_ms,32,0.001,0.9761,Yes
rtt_ms,29,0.06,0.812,Yes
rtt_ms,26,0.125,0.727,Yes
rtt_ms,23,0.234,0.6364,Yes
rtt_ms,20,0.352,0.5602,Yes
rtt_ms,14,0.031,0.8654,Yes
rtt_ms,11,0.013,0.9105,Yes
rtt_ms,8,0.023,0.8837,Yes
rtt_ms,5,0.11,0.7452,Yes
rtt_ms,2,3.684,0.0912,Yes
retransmissions,35,0.184,0.6733,Yes
retransmissions,32,3.273,0.0872,Yes
retransmissions,29,0.8,0.3972,Yes
retransmissions,26,0.796,0.3814,Yes
retransmissions,23,,,No
retransmissions,20,5.878,0.0261,No
retransmissions,14,0.4,0.5447,Yes
retransmissions,11,0.0,1.0,Yes
retransmissions,8,2.284,0.1692,Yes
retransmissions,5,0.298,0.5946,Yes
retransmissions,2,0.255,0.6271,Yes
