Metric,SNR_Bin_dB,F_Statistic,P_Value,Significant
throughput_mbps,35,11.501,0.0002,Yes
throughput_mbps,32,24.125,0.0,Yes
throughput_mbps,29,10.095,0.0027,Yes
throughput_mbps,26,5.172,0.0113,Yes
throughput_mbps,23,2.827,0.0808,No
throughput_mbps,20,1.003,0.3801,No
throughput_mbps,14,6.43,0.0114,Yes
throughput_mbps,11,8.61,0.0048,Yes
throughput_mbps,8,0.1,0.7597,No
throughput_mbps,5,0.854,0.443,No
throughput_mbps,2,1283.329,0.0,Yes
rtt_ms,35,327.705,0.0,Yes
rtt_ms,32,104.122,0.0,Yes
rtt_ms,29,15.892,0.0004,Yes
rtt_ms,26,16.634,0.0,Yes
rtt_ms,23,10.22,0.0007,Yes
rtt_ms,20,2.394,0.1104,No
rtt_ms,14,3.609,0.0567,No
rtt_ms,11,2.802,0.1003,No
rtt_ms,8,0.028,0.8703,No
rtt_ms,5,1.099,0.3556,No
rtt_ms,2,25.689,0.0001,Yes
retransmissions,35,5.123,0.013,Yes
retransmissions,32,2.922,0.0724,No
retransmissions,29,1.4,0.2841,No
retransmissions,26,2.124,0.1361,No
retransmissions,23,0.733,0.4917,No
retransmissions,20,4.289,0.0241,Yes
retransmissions,14,0.511,0.6113,No
retransmissions,11,8.989,0.0041,Yes
retransmissions,8,0.022,0.8864,No
retransmissions,5,39.336,0.0,Yes
retransmissions,2,4.2,0.0441,Yes
