Metric,SNR_Bin_dB,Variant_1,Variant_2,Mean_Difference,P_Value_Adj,Cohens_d
throughput_mbps,35,Legacy_Veno,Veno_RTTGrowthGuard,-0.493,0.0111,1.52
throughput_mbps,35,Legacy_Veno,vegas,-0.796,0.0,3.66
throughput_mbps,35,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.801,0.0,1.77
throughput_mbps,35,Veno_AdaptiveBeta,vegas,-1.104,0.0,2.87
throughput_mbps,35,Veno_RTTGrowthGuard,cubic,0.568,0.0199,1.51
throughput_mbps,35,cubic,vegas,-0.871,0.0001,3.49
throughput_mbps,35,vegas,westwood,0.715,0.0001,3.29
throughput_mbps,32,Legacy_Veno,Veno_AdaptiveBeta,0.745,0.0,2.36
throughput_mbps,32,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.875,0.0,2.67
throughput_mbps,32,Veno_AdaptiveBeta,cubic,-0.495,0.0031,1.71
throughput_mbps,32,Veno_AdaptiveBeta,westwood,-0.938,0.0,2.55
throughput_mbps,32,Veno_RTTGrowthGuard,cubic,0.38,0.0348,1.67
throughput_mbps,32,cubic,westwood,-0.443,0.0493,1.84
throughput_mbps,20,Veno_AdaptiveBeta,cubic,2.313,0.0129,2.01
throughput_mbps,20,Veno_AdaptiveBeta,westwood,2.336,0.0117,2.19
throughput_mbps,20,Veno_RTTGrowthGuard,cubic,3.046,0.0004,2.41
throughput_mbps,20,Veno_RTTGrowthGuard,westwood,3.069,0.0004,2.59
throughput_mbps,14,Legacy_Veno,cubic,4.698,0.0176,2.08
throughput_mbps,14,Veno_RTTGrowthGuard,cubic,5.762,0.0042,2.55
throughput_mbps,14,cubic,westwood,-4.394,0.0086,1.23
throughput_mbps,11,Veno_RTTGrowthGuard,westwood,5.096,0.0021,3.42
throughput_mbps,11,cubic,westwood,4.018,0.0196,3.21
rtt_ms,35,Legacy_Veno,Veno_AdaptiveBeta,-4.192,0.0,6.2
rtt_ms,35,Legacy_Veno,Veno_RTTGrowthGuard,4.488,0.0,5.8
rtt_ms,35,Legacy_Veno,cubic,-8.293,0.0,3.72
rtt_ms,35,Legacy_Veno,vegas,-34.852,0.0,78.9
rtt_ms,35,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,8.68,0.0,10.61
rtt_ms,35,Veno_AdaptiveBeta,cubic,-4.101,0.0001,1.82
rtt_ms,35,Veno_AdaptiveBeta,vegas,-30.66,0.0,59.42
rtt_ms,35,Veno_AdaptiveBeta,westwood,4.176,0.0,3.09
rtt_ms,35,Veno_RTTGrowthGuard,cubic,-12.781,0.0,5.57
rtt_ms,35,Veno_RTTGrowthGuard,vegas,-39.34,0.0,61.63
rtt_ms,35,Veno_RTTGrowthGuard,westwood,-4.504,0.0,3.21
rtt_ms,35,cubic,vegas,-26.559,0.0,12.24
rtt_ms,35,cubic,westwood,8.277,0.0,3.16
rtt_ms,35,vegas,westwood,34.836,0.0,27.84
rtt_ms,32,Legacy_Veno,Veno_AdaptiveBeta,-4.394,0.0007,3.25
