Metric,SNR_Bin_dB,Levene_W,P_Value,Equal_Variance
throughput_mbps,35,3.13,0.0157,No
throughput_mbps,32,1.268,0.2997,Yes
throughput_mbps,29,1.081,0.3839,Yes
throughput_mbps,26,2.455,0.0592,Yes
throughput_mbps,23,1.085,0.3781,Yes
throughput_mbps,20,2.958,0.0207,No
throughput_mbps,14,2.861,0.0287,No
throughput_mbps,11,1.441,0.2457,Yes
throughput_mbps,8,0.012,0.9151,Yes
throughput_mbps,5,0.296,0.9109,Yes
throughput_mbps,2,0.867,0.5024,Yes
rtt_ms,35,5.091,0.0008,No
rtt_ms,32,19.876,0.0,No
rtt_ms,29,4.78,0.0014,No
rtt_ms,26,1.173,0.3354,Yes
rtt_ms,23,0.752,0.5881,Yes
rtt_ms,20,6.476,0.0001,No
rtt_ms,14,2.379,0.0586,Yes
rtt_ms,11,1.908,0.1303,Yes
rtt_ms,8,0.023,0.8837,Yes
rtt_ms,5,0.649,0.6643,Yes
rtt_ms,2,1.583,0.2218,Yes
retransmissions,35,4.024,0.0039,No
retransmissions,32,2.651,0.0479,No
retransmissions,29,3.696,0.007,No
retransmissions,26,1.815,0.1426,Yes
retransmissions,23,0.474,0.7941,Yes
retransmissions,20,3.974,0.0042,No
retransmissions,14,0.563,0.7273,Yes
retransmissions,11,0.636,0.6743,Yes
retransmissions,8,2.284,0.1692,Yes
retransmissions,5,4.992,0.002,No
retransmissions,2,1.276,0.3159,Yes
