Metric,Variant,W_Statistic,P_Value,Normal
throughput_mbps,Legacy_Veno,0.7384,0.0,No
throughput_mbps,Veno_AdaptiveBeta,0.8073,0.0,No
throughput_mbps,Veno_RTTGrowthGuard,0.781,0.0,No
throughput_mbps,cubic,0.7037,0.0,No
throughput_mbps,vegas,0.6824,0.0,No
throughput_mbps,westwood,0.7183,0.0,No
rtt_ms,Legacy_Veno,0.424,0.0,No
rtt_ms,Veno_AdaptiveBeta,0.6402,0.0,No
rtt_ms,Veno_RTTGrowthGuard,0.5813,0.0,No
rtt_ms,cubic,0.3393,0.0,No
rtt_ms,vegas,0.1966,0.0,No
rtt_ms,westwood,0.3783,0.0,No
retransmissions,Legacy_Veno,0.322,0.0,No
retransmissions,Veno_AdaptiveBeta,0.59,0.0,No
retransmissions,Veno_RTTGrowthGuard,0.5082,0.0,No
retransmissions,cubic,0.3953,0.0,No
retransmissions,vegas,0.2968,0.0,No
retransmissions,westwood,0.4386,0.0,No
