Metric,SNR_Bin_dB,F_Statistic,P_Value,Significant
throughput_mbps,35,42.346,0.0,Yes
throughput_mbps,32,6.529,0.0066,Yes
throughput_mbps,29,1.319,0.2834,No
throughput_mbps,26,10.677,0.0,Yes
throughput_mbps,23,2.873,0.0402,Yes
throughput_mbps,20,7.556,0.0002,Yes
throughput_mbps,14,7.009,0.0005,Yes
throughput_mbps,11,7.43,0.0005,Yes
throughput_mbps,5,4.596,0.008,Yes
throughput_mbps,2,1.712,0.1924,No
rtt_ms,35,906.486,0.0,Yes
rtt_ms,32,28.53,0.0,Yes
rtt_ms,29,365.567,0.0,Yes
rtt_ms,26,339.99,0.0,Yes
rtt_ms,23,70.807,0.0,Yes
rtt_ms,20,49.075,0.0,Yes
rtt_ms,14,14.466,0.0,Yes
rtt_ms,11,128.495,0.0,Yes
rtt_ms,5,0.659,0.5828,No
rtt_ms,2,2.602,0.0765,No
retransmissions,35,0.82,0.4927,No
retransmissions,32,,,No
retransmissions,29,,,No
retransmissions,26,14.808,0.0,Yes
retransmissions,23,0.959,0.4153,No
retransmissions,20,6.044,0.0011,Yes
retransmissions,14,0.491,0.6904,No
retransmissions,11,2.685,0.0611,No
retransmissions,5,4.32,0.0106,Yes
retransmissions,2,1.209,0.3288,No
