,,throughput_mbps,throughput_mbps,throughput_mbps,rtt_ms,rtt_ms,rtt_ms,retransmissions,retransmissions,retransmissions
,,mean,std,count,mean,std,count,mean,std,count
snr_bin,tcp_variant,,,,,,,,,
2,cubic,0.02,0.01,9,432.58,295.31,9,37.44,21.27,9
2,vegas,0.0,0.0,2,851.8,0.0,2,15.0,0.0,2
2,veno,0.02,0.01,8,405.61,19.13,8,36.25,14.23,8
2,westwood,0.01,0.01,8,577.91,267.97,8,30.25,12.57,8
5,cubic,4.4,2.17,10,128.47,61.29,10,26.8,19.66,10
5,vegas,2.46,2.15,10,104.47,66.45,10,31.8,24.21,10
5,veno,5.78,1.64,10,108.55,35.21,10,5.8,5.22,10
5,westwood,3.28,2.45,10,130.79,40.31,10,32.4,21.26,10
11,cubic,9.2,0.76,10,79.48,7.77,10,1.8,1.4,10
11,vegas,11.25,3.32,10,8.96,7.5,10,1.4,2.46,10
11,veno,11.12,0.82,10,69.62,4.87,10,0.4,0.84,10
11,westwood,13.21,1.49,10,58.11,12.82,10,0.2,0.42,10
14,cubic,15.39,2.57,15,42.7,6.99,15,2.73,9.79,15
14,vegas,12.07,0.84,10,5.26,0.51,10,1.0,2.11,10
14,veno,11.6,0.97,11,71.38,13.02,11,0.55,1.21,11
14,westwood,12.24,3.49,15,84.49,56.14,15,3.53,8.49,15
17,cubic,13.72,1.03,8,45.34,6.41,8,1.5,1.6,8
20,cubic,19.39,0.78,20,36.8,3.62,20,0.0,0.0,20
20,vegas,18.52,0.32,10,3.22,0.05,10,0.0,0.0,10
20,veno,17.56,2.49,20,53.64,19.74,20,0.5,0.83,20
20,westwood,19.42,0.48,20,41.69,2.29,20,0.0,0.0,20
23,cubic,19.02,0.58,20,38.32,2.22,20,0.2,0.62,20
23,vegas,18.19,1.38,30,3.33,0.32,30,0.07,0.25,30
23,veno,19.2,0.59,20,44.81,4.63,20,0.1,0.31,20
23,westwood,18.94,1.94,30,47.97,23.44,30,0.53,2.03,30
26,cubic,19.97,0.29,20,36.05,1.29,20,0.1,0.31,20
26,vegas,18.99,0.28,10,3.14,0.06,10,0.0,0.0,10
26,veno,20.0,0.75,15,41.51,5.28,15,0.0,0.0,15
26,westwood,19.81,0.0,2,37.21,0.0,2,1.0,0.0,2
29,cubic,20.2,0.55,10,30.46,5.19,10,0.0,0.0,10
29,vegas,19.87,0.33,15,3.0,0.06,15,0.0,0.0,15
29,veno,20.38,0.24,5,39.5,2.64,5,0.0,0.0,5
29,westwood,20.16,0.9,10,39.7,3.0,10,0.0,0.0,10
32,cubic,20.63,0.17,10,31.49,3.62,10,0.0,0.0,10
32,veno,20.38,0.22,8,39.58,1.36,8,0.0,0.0,8
32,westwood,20.19,0.36,5,40.15,1.27,5,0.0,0.0,5
35,cubic,20.88,0.15,5,29.55,3.91,5,0.0,0.0,5
35,vegas,20.01,0.28,10,2.99,0.07,10,0.0,0.0,10
35,veno,20.8,0.12,10,37.84,0.62,10,0.0,0.0,10
35,westwood,20.72,0.12,10,37.83,1.77,10,0.1,0.32,10
