Metric,SNR_Bin_dB,Levene_W,P_Value,Equal_Variance
throughput_mbps,35,0.987,0.4118,Yes
throughput_mbps,32,1.294,0.2961,Yes
throughput_mbps,29,1.285,0.2941,Yes
throughput_mbps,26,6.934,0.0007,No
throughput_mbps,23,1.691,0.1741,Yes
throughput_mbps,20,7.972,0.0001,No
throughput_mbps,14,2.137,0.1081,Yes
throughput_mbps,11,3.808,0.0181,No
throughput_mbps,5,0.607,0.6148,Yes
throughput_mbps,2,0.839,0.4863,Yes
rtt_ms,35,5.47,0.0039,No
rtt_ms,32,34.964,0.0,No
rtt_ms,29,6.999,0.0008,No
rtt_ms,26,3.713,0.0184,No
rtt_ms,23,1.834,0.1461,Yes
rtt_ms,20,5.96,0.0012,No
rtt_ms,14,2.867,0.0464,No
rtt_ms,11,1.604,0.2054,Yes
rtt_ms,5,1.225,0.3146,Yes
rtt_ms,2,1.542,0.2306,Yes
retransmissions,35,0.82,0.4927,Yes
retransmissions,32,,,No
retransmissions,29,,,No
retransmissions,26,0.915,0.4417,Yes
retransmissions,23,0.959,0.4153,Yes
retransmissions,20,6.044,0.0011,No
retransmissions,14,0.491,0.6904,Yes
retransmissions,11,1.551,0.2181,Yes
retransmissions,5,4.172,0.0124,No
retransmissions,2,1.862,0.1642,Yes
