timestamp,tcp_variant,test_condition,repetition,snr_db,sa_delta_dbm,p1_dbm,p3_noise_dbm,throughput_mbps,rtt_ms,retransmissions,duration_sec,bytes_sent,bytes_received,max_rtt_ms,min_rtt_ms,tcp_congestion,json_filename
20260318_102024,cubic,normal,1,35.03,-30.2,-30.2,-65.23,19.76,27.63,0,30.001662,74579968,74186752,34.47,17.7,cubic,SNR35.03_normal_iperf3_cubic_rep1_20260318_102024.json
20260318_102059,cubic,normal,2,35.03,-30.2,-30.2,-65.23,19.33,36.09,0,30.001635,74186752,72613888,52.04,16.51,cubic,SNR35.03_normal_iperf3_cubic_rep2_20260318_102059.json
20260318_102134,cubic,normal,3,35.03,-30.2,-30.2,-65.23,19.89,25.61,0,30.000645,75497472,74711040,43.02,19.02,cubic,SNR35.03_normal_iperf3_cubic_rep3_20260318_102134.json
20260318_102210,cubic,normal,4,35.03,-30.2,-30.2,-65.23,20.49,30.61,0,30.001702,77332480,76939264,40.76,15.85,cubic,SNR35.03_normal_iperf3_cubic_rep4_20260318_102210.json
20260318_102245,cubic,normal,5,35.03,-30.2,-30.2,-65.23,20.45,31.29,0,30.001812,77725696,76808192,45.93,12.24,cubic,SNR35.03_normal_iperf3_cubic_rep5_20260318_102245.json
20260318_102321,westwood,normal,1,35.03,-30.2,-30.2,-65.23,20.46,39.48,0,30.001684,78118912,76808192,46.2,34.91,westwood,SNR35.03_normal_iperf3_westwood_rep1_20260318_102321.json
20260318_102356,westwood,normal,2,35.03,-30.2,-30.2,-65.23,20.57,37.82,0,30.001581,78643200,77201408,43.38,33.55,westwood,SNR35.03_normal_iperf3_westwood_rep2_20260318_102356.json
20260318_102431,westwood,normal,3,35.03,-30.2,-30.2,-65.23,20.66,38.04,0,30.001798,78905344,77594624,45.42,32.75,westwood,SNR35.03_normal_iperf3_westwood_rep3_20260318_102431.json
20260318_102506,westwood,normal,4,35.03,-30.2,-30.2,-65.23,20.46,38.28,0,30.001478,78512128,76808192,46.55,33.67,westwood,SNR35.03_normal_iperf3_westwood_rep4_20260318_102506.json
20260318_102541,westwood,normal,5,35.03,-30.2,-30.2,-65.23,20.35,38.67,0,30.00169,77332480,76414976,47.37,34.04,westwood,SNR35.03_normal_iperf3_westwood_rep5_20260318_102541.json
20260318_102618,veno,normal,1,35.03,-30.2,-30.2,-65.23,20.2,39.14,0,30.001703,78381056,75890688,48.66,34.47,veno,SNR35.03_normal_iperf3_veno_rep1_20260318_102618.json
20260318_102653,veno,normal,2,35.03,-30.2,-30.2,-65.23,20.45,38.76,0,30.001645,77856768,76808192,48.98,33.26,veno,SNR35.03_normal_iperf3_veno_rep2_20260318_102653.json
20260318_102728,veno,normal,3,35.03,-30.2,-30.2,-65.23,20.07,44.09,0,30.001097,78381056,75366400,58.29,35.26,veno,SNR35.03_normal_iperf3_veno_rep3_20260318_102728.json
20260318_102803,veno,normal,4,35.03,-30.2,-30.2,-65.23,20.52,37.83,0,30.00177,78512128,77070336,44.93,34.48,veno,SNR35.03_normal_iperf3_veno_rep4_20260318_102803.json
20260318_102838,veno,normal,5,35.03,-30.2,-30.2,-65.23,20.66,37.69,0,30.001695,79036416,77594624,45.32,32.67,veno,SNR35.03_normal_iperf3_veno_rep5_20260318_102838.json
